score,missed_score,moyenne_move
83,0,62
81,0,64
84,0,58
77,0,52
52,0,52
72,0,49
79,0,57
94,0,59
87,0,64
64,0,65
61,0,57
97,0,66
88,0,62
90,0,60
103,0,58
76,0,48
90,0,64
99,0,54
86,0,55
104,0,66
87,0,51
108,0,62
76,0,52
74,0,66
57,0,50
78,0,50
74,0,61
94,0,68
63,0,53
95,0,63
82,0,61
75,0,52
76,0,54
55,0,45
109,0,59
93,0,63
84,0,58
78,0,58
94,0,59
74,0,48
86,0,59
96,0,59
69,0,62
101,0,62
59,0,52
96,0,66
72,0,53
75,0,51
80,0,53
98,0,64
