score,missed_score,moyenne_move
105,9,64
70,6,58
55,10,48
63,11,58
83,10,58
52,14,52
71,12,48
64,6,54
87,8,57
68,7,59
63,9,46
84,8,60
84,9,65
63,8,61
73,4,56
85,12,62
84,13,55
75,16,58
67,3,53
63,6,49
69,10,57
71,9,54
54,9,58
76,5,49
72,9,64
56,7,61
66,8,54
87,7,57
63,7,52
86,11,53
73,16,61
59,5,50
61,15,49
67,11,65
86,4,54
68,7,57
73,4,58
85,7,60
44,9,46
64,8,54
87,8,56
76,11,49
97,9,63
67,7,44
76,5,56
80,10,62
22,6,43
60,5,52
82,8,59
98,10,65
