score,missed_score,moyenne_move
94,2,63
78,2,52
75,5,64
87,3,65
88,3,56
85,3,54
74,1,58
33,0,42
67,0,43
21,1,46
99,5,56
55,0,49
104,1,55
93,1,57
65,1,57
88,1,62
66,3,58
75,1,61
75,2,63
70,2,57
66,6,60
60,4,46
101,6,60
95,1,59
84,2,60
72,4,55
96,3,61
88,0,61
78,4,56
100,4,59
67,0,62
85,1,57
67,1,48
64,6,59
93,2,60
57,0,56
80,2,63
66,6,55
77,1,59
58,1,49
79,2,56
82,5,65
54,1,48
71,5,62
50,3,56
93,2,56
56,0,47
82,0,58
96,3,57
72,6,62
